run,date,start_time,ebeam,current,target,hms_p,hms_th,shms_p,shms_th,ps1,ps2,ps3,ps4,ps5,ps6,run_type,comment
25502,08/31,19:32,10.6716,14.0,LD2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25503,08/31,20:08,10.6716,14.0,LD2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25504,08/31,20:39,10.6716,7.0,LD2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25505,08/31,21:11,10.6716,7.0,LD2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25506,08/31,21:48,10.6716,30.0,LH2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25507,08/31,22:19,10.6716,30.0,LH2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25508,08/31,22:56,10.6716,30.0,LH2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25509,08/31,23:27,10.6716,30.0,LH2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25510,08/31,23:57,10.6716,30.0,LH2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,Run ended early for MCC to bring beam back to Hall B
25511,09/01,00:34,10.6716,30.0,LH2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25512,09/01,00:47,10.6716,15.0,LH2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25513,09/01,01:18,10.6716,15.0,LH2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25514,09/01,01:58,10.6716,20.0,Dummy,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25515,09/01,02:40,10.6716,20.0,LD2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25516,09/01,02:44,10.6716,20.0,LD2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,HMS Q3 tripped ~3mins before run stop!
25517,09/01,06:32,10.6716,13.0,LD2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25518,09/01,07:02,10.6716,13.0,LD2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25519,09/01,07:34,10.6716,13.0,LD2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25520,09/01,08:05,10.6716,13.0,LD2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25521,09/01,11:06,10.6716,50.0,Optics1,-6.358,16.755,-6.358,13.505,-1,0,-1,0,-1,-1,OPTICS,"HMS angle camera stuck, angle might be wrong"
25522,09/01,11:36,10.6716,50.0,Optics1,-6.358,16.755,-6.358,13.505,-1,0,-1,0,-1,-1,OPTICS,"HMS angle camera stuck, angle might be wrong"
25523,09/01,12:26,10.6716,60.0,C,-6.358,16.755,-6.358,13.505,-1,1,-1,1,-1,-1,OPTICS,"HMS angle camera stuck, angle might be wrong"
25524,09/01,12:57,10.6716,60.0,C,-6.358,16.755,-6.358,13.505,-1,1,-1,1,-1,-1,OPTICS,"HMS angle camera stuck, angle might be wrong"
25525,09/01,13:40,10.6716,60.0,C,-5.983,16.755,-5.983,13.505,-1,1,-1,1,-1,-1,OPTICS,"HMS angle camera stuck, angle might be wrong"
25526,09/01,14:10,10.6716,60.0,C,-5.983,16.755,-5.983,13.505,-1,1,-1,1,-1,-1,OPTICS,"HMS angle camera stuck, angle might be wrong"
25527,09/01,14:47,10.6716,50.0,Optics1,-5.983,16.755,-5.983,13.505,-1,0,-1,0,-1,-1,OPTICS,0
25528,09/01,15:20,10.6716,50.0,Optics1,-5.983,16.755,-5.983,13.505,-1,0,-1,0,-1,-1,OPTICS,0
25529,09/01,16:06,10.6716,50.0,Optics1,-5.27,16.755,-5.27,13.505,-1,0,-1,0,-1,-1,OPTICS,0
25530,09/01,16:39,10.6716,50.0,Optics1,-5.27,16.755,-5.27,13.505,-1,0,-1,0,-1,-1,OPTICS,0
25532,09/01,18:09,10.6716,30.0,LH2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25533,09/01,18:40,10.6716,30.0,LH2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,Short run ~ 20 minutes of beam time
25534,09/01,19:19,10.6716,30.0,LH2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25536,09/01,20:04,10.6716,30.0,LH2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,"Another short run, only 10 minutes before beam tripped"
25538,09/01,22:14,10.6716,30.0,LH2,-3.642,16.755,-3.632,8.11,-1,-1,-1,-1,-1,0,PI-SIDIS,0
25539,09/01,23:29,10.6716,22.0,LH2,-3.642,16.755,3.632,8.11,-1,-1,-1,-1,-1,0,PI+SIDIS,0
25540,09/01,23:56,10.6716,22.0,LH2,-3.642,16.755,3.632,8.11,-1,-1,-1,-1,-1,0,PI+SIDIS,0
25541,09/02,00:28,10.6716,22.0,LH2,-3.642,16.755,3.632,8.11,-1,-1,-1,-1,-1,0,PI+SIDIS,0
25542,09/02,01:00,10.6716,22.0,LH2,-3.642,16.755,3.632,8.11,-1,-1,-1,-1,-1,0,PI+SIDIS,0
25543,09/02,01:31,10.6716,22.0,LH2,-3.642,16.755,3.632,8.11,-1,-1,-1,-1,-1,0,PI+SIDIS,0
25544,09/02,02:02,10.6716,22.0,LH2,-3.642,16.755,3.632,8.11,-1,-1,-1,-1,-1,0,PI+SIDIS,0
25545,09/02,02:34,10.6716,22.0,LH2,-3.642,16.755,3.632,8.11,-1,-1,-1,-1,-1,0,PI+SIDIS,0
25546,09/02,03:21,10.6716,30.0,Dummy,-3.642,16.755,3.632,8.11,-1,-1,-1,-1,-1,0,PI+SIDIS,0
25547,09/02,04:21,10.6716,22.0,LH2,-3.642,16.755,3.632,8.11,-1,-1,-1,-1,-1,0,PI+SIDIS,0
25548,09/02,04:44,10.6716,22.0,LH2,-3.642,16.755,3.632,8.11,-1,-1,-1,-1,-1,0,PI+SIDIS,0
25550,09/02,21:00,2.231,10.0,LH2,-2.257,19.0,-2.36,18.5,-1,-1,-1,3,-1,-1,HMSHEE,0
25551,09/02,21:20,2.231,10.0,LH2,-2.237,19.0,-2.36,18.5,-1,-1,-1,3,-1,-1,HMSHEE,0
25552,09/02,21:36,2.231,10.0,LH2,-2.218,19.0,-2.36,18.5,-1,-1,-1,4,-1,-1,HMSHEE,0
25554,09/02,21:57,2.231,10.0,LH2,-2.198,19.0,-2.36,18.5,-1,-1,-1,4,-1,-1,HMSHEE,0
25555,09/02,22:08,2.231,10.0,LH2,-2.178,19.0,-2.36,18.5,-1,-1,-1,5,-1,-1,HMSHEE,0
25556,09/02,22:20,2.231,10.0,LH2,-2.158,19.0,-2.36,18.5,-1,-1,-1,5,-1,-1,HMSHEE,0
25557,09/02,22:32,2.231,10.0,LH2,-2.138,19.0,-2.36,18.5,-1,-1,-1,5,-1,-1,HMSHEE,0
25558,09/02,22:48,2.231,10.0,LH2,-1.98,19.0,-2.36,18.5,-1,-1,-1,5,-1,-1,HMSHEE,0
25560,09/02,23:16,2.231,10.0,Dummy,-1.98,19.0,-2.36,18.5,-1,-1,-1,4,-1,-1,HMSHEE,0
25562,09/02,23:43,2.231,10.0,LH2,-1.822,19.0,-2.36,18.5,-1,-1,-1,6,-1,-1,HMSHEE,0
25563,09/02,23:54,2.231,10.0,LH2,-1.802,19.0,-2.36,18.5,-1,-1,-1,6,-1,-1,HMSHEE,Prescales not noted on the runsheets!!! Assuming PS4 = 6
25564,09/03,00:07,2.231,10.0,LH2,-1.782,19.0,-2.36,18.5,-1,-1,-1,6,-1,-1,HMSHEE,0
25565,09/03,00:20,2.231,10.0,LH2,-1.762,19.0,-2.36,18.5,-1,-1,-1,6,-1,-1,HMSHEE,0
25566,09/03,00:30,2.231,10.0,LH2,-1.742,19.0,-2.36,18.5,-1,-1,-1,6,-1,-1,HMSHEE,0
25567,09/03,00:42,2.231,10.0,LH2,-1.723,19.0,-2.36,18.5,-1,-1,-1,6,-1,-1,HMSHEE,0
25573,09/03,01:55,2.231,10.0,LH2,-1.723,19.0,-2.36,18.5,-1,5,-1,-1,-1,-1,SHMSHEE,Shift summary indicates this run is ok.
25574,09/03,02:03,2.231,10.0,LH2,-1.723,19.0,-2.32,18.5,-1,5,-1,-1,-1,-1,SHMSHEE,0
25575,09/03,02:12,2.231,10.0,LH2,-1.723,19.0,-2.28,18.5,-1,5,-1,-1,-1,-1,SHMSHEE,0
25576,09/03,02:20,2.231,10.0,LH2,-1.723,19.0,-2.24,18.5,-1,5,-1,-1,-1,-1,SHMSHEE,0
25577,09/03,02:29,2.231,10.0,LH2,-1.723,19.0,-2.2,18.5,-1,5,-1,-1,-1,-1,SHMSHEE,0
25578,09/03,02:38,2.231,10.0,LH2,-1.723,19.0,-2.0,18.5,-1,5,-1,-1,-1,-1,SHMSHEE,0
25579,09/03,03:08,2.231,10.0,Dummy,-1.723,19.0,-2.0,18.5,-1,5,-1,-1,-1,-1,SHMSHEE,0
25580,09/03,03:23,2.231,10.0,LH2,-1.723,19.0,-1.64,18.5,-1,5,-1,-1,-1,-1,SHMSHEE,0
25581,09/03,03:30,2.231,10.0,LH2,-1.723,19.0,-1.6,18.5,-1,6,-1,-1,-1,-1,SHMSHEE,0
25582,09/03,03:39,2.231,10.0,LH2,-1.723,19.0,-1.56,18.5,-1,6,-1,-1,-1,-1,SHMSHEE,0
25583,09/03,03:51,2.231,10.0,LH2,-1.723,19.0,-1.52,18.5,-1,6,-1,-1,-1,-1,SHMSHEE,0
25584,09/03,04:02,2.231,10.0,LH2,-1.723,19.0,-1.48,18.5,-1,6,-1,-1,-1,-1,SHMSHEE,0
25585,09/03,04:12,2.231,10.0,LH2,-1.723,19.0,-1.44,18.5,-1,5,-1,-1,-1,-1,SHMSHEE,0
25586,09/03,04:19,2.231,10.0,LH2,-1.723,19.0,-1.4,18.5,-1,5,-1,-1,-1,-1,SHMSHEE,0
25587,09/03,04:26,2.231,10.0,LH2,-1.723,19.0,-1.36,18.5,-1,5,-1,-1,-1,-1,SHMSHEE,0
25588,09/03,04:33,2.231,10.0,LH2,-1.723,19.0,-1.32,18.5,-1,5,-1,-1,-1,-1,SHMSHEE,0
25589,09/03,04:41,2.231,10.0,LH2,-1.723,19.0,-1.28,18.5,-1,5,-1,-1,-1,-1,SHMSHEE,0
25590,09/03,05:12,2.231,10.0,LH2,-1.723,19.0,-2.34,18.5,-1,0,-1,-1,-1,-1,SHMSHEE,0
25591,09/03,05:19,2.231,10.0,LH2,-1.723,19.0,-2.3,18.5,-1,0,-1,-1,-1,-1,SHMSHEE,0
25592,09/03,05:26,2.231,10.0,LH2,-1.723,19.0,-2.26,18.5,-1,0,-1,-1,-1,-1,SHMSHEE,SHMS mom changed ~13s before run stop!
25593,09/03,05:34,2.231,10.0,LH2,-1.723,19.0,-2.22,18.5,-1,0,-1,-1,-1,-1,SHMSHEE,0
25594,09/03,05:41,2.231,10.0,LH2,-1.723,19.0,-2.18,18.5,-1,0,-1,-1,-1,-1,SHMSHEE,0
25595,09/03,05:49,2.231,10.0,LH2,-1.723,19.0,-2.14,18.5,-1,0,-1,-1,-1,-1,SHMSHEE,SHMS mom changed ~6s before run stop!
25596,09/03,05:57,2.231,10.0,LH2,-1.723,19.0,-2.1,18.5,-1,0,-1,-1,-1,-1,SHMSHEE,0
25597,09/03,06:05,2.231,10.0,LH2,-1.723,19.0,-2.06,18.5,-1,0,-1,-1,-1,-1,SHMSHEE,0
25598,09/03,06:12,2.231,10.0,LH2,-1.723,19.0,-2.02,18.5,-1,0,-1,-1,-1,-1,SHMSHEE,0
25599,09/03,06:25,2.231,10.0,LH2,-1.723,19.0,-1.98,18.5,-1,0,-1,-1,-1,-1,SHMSHEE,0
25600,09/03,06:32,2.231,10.0,LH2,-1.723,19.0,-1.94,18.5,-1,0,-1,-1,-1,-1,SHMSHEE,0
25601,09/03,06:39,2.231,10.0,LH2,-1.723,19.0,-1.9,18.5,-1,0,-1,-1,-1,-1,SHMSHEE,SHMS mom changed ~12s before run stop!
25602,09/03,06:46,2.231,10.0,LH2,-1.723,19.0,-1.86,18.5,-1,0,-1,-1,-1,-1,SHMSHEE,0
25603,09/03,06:52,2.231,10.0,LH2,-1.723,19.0,-1.82,18.5,-1,0,-1,-1,-1,-1,SHMSHEE,0
