run,run_type,replay_mode
25485,PI-SIDIS,coin
24952,PI+SIDIS,coin
25110,PI-SIDIS,coin
25539,PI+SIDIS,coin
25006,PI+SIDIS,coin
24927,PI+SIDIS,coin
25477,SHMSHEEP,coin
25480,SHMSHEEP,coin
25483,SHMSHEEP,coin
25475,SHMSHEEP,coin
