run,run_type,replay_mode
23839,SHMSHEEP,coin
23840,SHMSHEEP,coin
23841,SHMSHEEP,coin
23842,SHMSHEEP,coin
23844,SHMSHEEP,coin
23845,SHMSHEEP,coin
23846,SHMSHEEP,coin
23847,SHMSHEEP,coin
23848,SHMSHEEP,coin
23849,SHMSHEEP,coin
23850,SHMSHEEP,coin
23851,SHMSHEEP,coin
23853,HMSDIS,hms
23855,HMSDIS,hms
23856,SHMSDIS,shms
23857,HMSDIS,hms
23858,HMSDIS,hms
23859,HMSDIS,hms
23860,HMSDIS,hms
23861,PI-SIDIS,coin
23862,PI-SIDIS,coin
23864,PI-SIDIS,coin
23865,PI-SIDIS,coin
23866,PI-SIDIS,coin
23867,PI-SIDIS,coin
23868,PI-SIDIS,coin
23876,PI-SIDIS,coin
23878,PI-SIDIS,coin
23879,PI-SIDIS,coin
23880,PI-SIDIS,coin
23881,PI-SIDIS,coin
23882,PI-SIDIS,coin
23883,PI-SIDIS,coin
23884,PI-SIDIS,coin
23885,PI-SIDIS,coin
23886,PI-SIDIS,coin
23887,PI-SIDIS,coin
23888,PI-SIDIS,coin
23889,PI-SIDIS,coin
23890,PI-SIDIS,coin
23891,PI-SIDIS,coin
23892,PI-SIDIS,coin
23893,PI-SIDIS,coin
23894,PI-SIDIS,coin
23895,PI-SIDIS,coin
23896,PI-SIDIS,coin
23897,PI-SIDIS,coin
23898,PI-SIDIS,coin
23899,PI-SIDIS,coin
23900,PI-SIDIS,coin
23901,PI-SIDIS,coin
23902,PI-SIDIS,coin
23903,PI-SIDIS,coin
23904,PI-SIDIS,coin
23905,PI-SIDIS,coin
23906,PI-SIDIS,coin
23907,PI-SIDIS,coin
23908,PI-SIDIS,coin
23909,HMSDIS,hms
23911,SHMSDIS,shms
23912,SHMSDIS,shms
23913,SHMSDIS,shms
23915,SHMSDIS,shms
23918,HMSDIS,hms
23919,HMSDIS,hms
23925,HMSDIS,hms
23933,SHMSDIS,shms
23934,HMSDIS,hms
23937,SHMSDIS,shms
23938,HMSDIS,hms
23941,SHMSDIS,shms
23942,PI-SIDIS,coin
23943,PI-SIDIS,coin
23944,PI-SIDIS,coin
23945,PI-SIDIS,coin
23946,PI-SIDIS,coin
23947,PI-SIDIS,coin
23948,PI-SIDIS,coin
23949,PI-SIDIS,coin
23950,PI-SIDIS,coin
23951,PI-SIDIS,coin
23952,PI-SIDIS,coin
23953,PI-SIDIS,coin
23954,PI-SIDIS,coin
23955,PI-SIDIS,coin
23956,PI-SIDIS,coin
23957,PI-SIDIS,coin
23960,PI-SIDIS,coin
23961,PI-SIDIS,coin
23962,PI-SIDIS,coin
23963,HMSDIS,hms
23964,PI-SIDIS,coin
23965,PI-SIDIS,coin
23966,PI-SIDIS,coin
23967,PI-SIDIS,coin
23968,HMSDIS,hms
23969,PI-SIDIS,coin
23970,PI-SIDIS,coin
23971,HMSDIS,hms
23972,PI-SIDIS,coin
23973,PI-SIDIS,coin
23974,PI-SIDIS,coin
23975,PI-SIDIS,coin
23976,HMSDIS,hms
23977,PI-SIDIS,coin
23979,PI-SIDIS,coin
23980,PI-SIDIS,coin
23981,PI-SIDIS,coin
23982,PI-SIDIS,coin
23983,PI-SIDIS,coin
23984,PI-SIDIS,coin
23985,PI-SIDIS,coin
23986,PI-SIDIS,coin
23987,PI-SIDIS,coin
23988,PI-SIDIS,coin
23989,PI-SIDIS,coin
23990,PI-SIDIS,coin
23991,PI-SIDIS,coin
23992,PI-SIDIS,coin
23993,PI-SIDIS,coin
23994,PI-SIDIS,coin
23995,PI-SIDIS,coin
23996,PI-SIDIS,coin
23998,PI-SIDIS,coin
23999,PI-SIDIS,coin
24001,PI-SIDIS,coin
24002,PI-SIDIS,coin
24003,PI-SIDIS,coin
24004,PI-SIDIS,coin
24005,PI-SIDIS,coin
24006,PI-SIDIS,coin
24007,PI-SIDIS,coin
24008,PI-SIDIS,coin
24009,PI-SIDIS,coin
24010,PI-SIDIS,coin
24011,PI-SIDIS,coin
24012,PI-SIDIS,coin
24013,PI-SIDIS,coin
24014,PI-SIDIS,coin
24015,PI-SIDIS,coin
24016,PI-SIDIS,coin
24017,HMSDIS,hms
24018,SHMSDIS,shms
24019,PI-SIDIS,coin
24020,PI-SIDIS,coin
24021,PI-SIDIS,coin
24022,PI-SIDIS,coin
24023,PI-SIDIS,coin
24024,PI-SIDIS,coin
24026,PI-SIDIS,coin
24027,HMSDIS,hms
24031,SHMSDIS,shms
24032,PI-SIDIS,coin
24038,SHMSDIS,shms
24039,PI-SIDIS,coin
24040,PI-SIDIS,coin
24041,PI-SIDIS,coin
24042,PI-SIDIS,coin
24043,PI-SIDIS,coin
24044,HMSDIS,hms
24046,SHMSDIS,shms
24047,PI-SIDIS,coin
24048,PI-SIDIS,coin
24049,PI-SIDIS,coin
24050,PI-SIDIS,coin
24051,PI-SIDIS,coin
24052,HMSDIS,hms
24053,SHMSDIS,shms
24054,PI-SIDIS,coin
24055,PI-SIDIS,coin
24056,PI-SIDIS,coin
24057,PI-SIDIS,coin
24058,PI-SIDIS,coin
24059,PI-SIDIS,coin
24060,PI-SIDIS,coin
24061,PI-SIDIS,coin
24062,PI-SIDIS,coin
24063,PI-SIDIS,coin
24064,PI-SIDIS,coin
24065,PI-SIDIS,coin
24066,PI-SIDIS,coin
24067,PI-SIDIS,coin
24068,PI-SIDIS,coin
24069,PI-SIDIS,coin
24070,PI-SIDIS,coin
24071,PI-SIDIS,coin
24072,PI-SIDIS,coin
24073,PI-SIDIS,coin
24074,PI-SIDIS,coin
24075,PI-SIDIS,coin
24076,PI-SIDIS,coin
24078,SHMSDIS,shms
24079,PI-SIDIS,coin
24080,PI-SIDIS,coin
24081,PI-SIDIS,coin
24082,PI-SIDIS,coin
24083,HMSDIS,hms
24084,PI-SIDIS,coin
24085,PI-SIDIS,coin
24086,PI-SIDIS,coin
24087,PI-SIDIS,coin
24089,PI-SIDIS,coin
24091,PI-SIDIS,coin
24092,PI-SIDIS,coin
24093,PI-SIDIS,coin
24094,PI-SIDIS,coin
24095,PI-SIDIS,coin
24096,PI-SIDIS,coin
24097,PI-SIDIS,coin
24098,PI-SIDIS,coin
24099,PI-SIDIS,coin
24100,PI-SIDIS,coin
24101,PI-SIDIS,coin
24103,PI-SIDIS,coin
24104,PI-SIDIS,coin
24110,PI-SIDIS,coin
24111,PI-SIDIS,coin
24112,PI-SIDIS,coin
24113,PI-SIDIS,coin
24116,PI-SIDIS,coin
24117,PI-SIDIS,coin
24118,HMSDIS,hms
24119,SHMSDIS,shms
24120,PI-SIDIS,coin
24121,PI-SIDIS,coin
24122,PI-SIDIS,coin
24123,PI-SIDIS,coin
24125,PI-SIDIS,coin
24126,PI-SIDIS,coin
24127,PI-SIDIS,coin
24128,PI-SIDIS,coin
24129,PI-SIDIS,coin
24130,PI-SIDIS,coin
24131,PI-SIDIS,coin
24132,PI-SIDIS,coin
24133,PI-SIDIS,coin
24134,PI-SIDIS,coin
24135,PI-SIDIS,coin
24136,HMSDIS,hms
24137,SHMSDIS,shms
24138,PI-SIDIS,coin
24139,PI-SIDIS,coin
24140,PI-SIDIS,coin
24141,PI-SIDIS,coin
24142,HMSDIS,hms
24143,SHMSDIS,shms
24144,PI-SIDIS,coin
24145,PI-SIDIS,coin
24146,PI-SIDIS,coin
24147,PI-SIDIS,coin
24148,HMSDIS,hms
24149,SHMSDIS,shms
24150,PI-SIDIS,coin
24151,PI-SIDIS,coin
24153,PI-SIDIS,coin
24155,PI-SIDIS,coin
24156,PI-SIDIS,coin
24157,PI-SIDIS,coin
24158,PI-SIDIS,coin
24159,PI-SIDIS,coin
24160,PI-SIDIS,coin
24161,PI-SIDIS,coin
24162,PI-SIDIS,coin
24163,PI-SIDIS,coin
24164,PI-SIDIS,coin
24165,PI-SIDIS,coin
24166,PI-SIDIS,coin
24167,PI-SIDIS,coin
24168,PI-SIDIS,coin
24169,PI-SIDIS,coin
24170,PI-SIDIS,coin
24171,PI-SIDIS,coin
24172,PI-SIDIS,coin
24173,PI-SIDIS,coin
24174,PI-SIDIS,coin
24175,PI-SIDIS,coin
24176,PI-SIDIS,coin
24177,PI-SIDIS,coin
24178,PI-SIDIS,coin
24179,PI-SIDIS,coin
24183,HMSDIS,hms
24184,HMSDIS,hms
24185,PI-SIDIS,coin
24187,PI+SIDIS,coin
24188,PI+SIDIS,coin
24189,PI+SIDIS,coin
24190,PI+SIDIS,coin
24191,PI+SIDIS,coin
24192,PI+SIDIS,coin
24193,PI+SIDIS,coin
24194,PI+SIDIS,coin
24195,PI+SIDIS,coin
24196,PI+SIDIS,coin
24197,PI+SIDIS,coin
24198,HMSDIS,hms
24199,SHMSDIS,shms
24200,PI+SIDIS,coin
24201,PI+SIDIS,coin
24203,PI+SIDIS,coin
24204,PI+SIDIS,coin
24205,HMSDIS,hms
24206,PI+SIDIS,coin
24207,PI+SIDIS,coin
24208,PI+SIDIS,coin
24209,HMSDIS,hms
24210,PI+SIDIS,coin
24211,PI+SIDIS,coin
24212,HMSDIS,hms
24213,PI+SIDIS,coin
24214,PI+SIDIS,coin
24215,PI+SIDIS,coin
24216,PI+SIDIS,coin
24217,PI+SIDIS,coin
24218,PI+SIDIS,coin
24219,PI+SIDIS,coin
24220,PI+SIDIS,coin
24221,HMSDIS,hms
24222,PI+SIDIS,coin
24223,PI+SIDIS,coin
24224,PI+SIDIS,coin
24225,PI+SIDIS,coin
24226,PI+SIDIS,coin
24227,PI+SIDIS,coin
24228,PI+SIDIS,coin
24229,PI+SIDIS,coin
24230,PI+SIDIS,coin
24231,HMSDIS,hms
24232,PI+SIDIS,coin
24233,PI+SIDIS,coin
24234,PI+SIDIS,coin
24235,HMSDIS,hms
24236,PI+SIDIS,coin
24237,PI+SIDIS,coin
24238,PI+SIDIS,coin
24239,PI+SIDIS,coin
24240,PI+SIDIS,coin
24241,PI+SIDIS,coin
24242,HMSDIS,hms
24243,PI+SIDIS,coin
24244,PI+SIDIS,coin
24245,PI+SIDIS,coin
24246,PI+SIDIS,coin
24247,PI+SIDIS,coin
24248,PI+SIDIS,coin
24249,HMSDIS,hms
24250,PI+SIDIS,coin
24251,PI+SIDIS,coin
24252,PI+SIDIS,coin
24253,PI+SIDIS,coin
24254,PI+SIDIS,coin
24255,PI+SIDIS,coin
24256,HMSDIS,hms
24257,PI+SIDIS,coin
24258,PI+SIDIS,coin
24259,PI+SIDIS,coin
24260,PI+SIDIS,coin
24261,PI+SIDIS,coin
24262,PI+SIDIS,coin
24263,PI+SIDIS,coin
24264,PI+SIDIS,coin
24265,HMSDIS,hms
24266,PI+SIDIS,coin
24267,PI+SIDIS,coin
24268,PI+SIDIS,coin
24269,PI+SIDIS,coin
24270,PI+SIDIS,coin
24271,PI+SIDIS,coin
24273,PI+SIDIS,coin
24274,PI+SIDIS,coin
24275,PI+SIDIS,coin
24276,PI+SIDIS,coin
24277,PI+SIDIS,coin
24278,PI+SIDIS,coin
24279,PI+SIDIS,coin
24280,PI+SIDIS,coin
24281,PI+SIDIS,coin
24282,PI+SIDIS,coin
24283,PI+SIDIS,coin
24284,HMSDIS,hms
24285,HMSDIS,hms
24286,HMSDIS,hms
24287,HMSDIS,hms
24289,HMSDIS,hms
24290,HMSDIS,hms
24291,HMSDIS,hms
24292,HMSDIS,hms
24293,HMSDIS,hms
24294,HMSDIS,hms
24295,HMSDIS,hms
24296,HMSDIS,hms
24297,HMSDIS,hms
24298,HMSDIS,hms
24299,HMSDIS,hms
24301,HMSDIS,hms
24303,HMSDIS,hms
24304,HMSDIS,hms
24306,HMSDIS,hms
24307,HMSDIS,hms
24308,HMSDIS,hms
24309,HMSDIS,hms
24310,PI+SIDIS,coin
24311,PI+SIDIS,coin
24312,PI+SIDIS,coin
24313,PI+SIDIS,coin
24314,PI+SIDIS,coin
24315,PI+SIDIS,coin
24316,PI+SIDIS,coin
24317,PI+SIDIS,coin
24318,PI+SIDIS,coin
24319,HMSDIS,hms
24321,SHMSDIS,shms
24322,PI+SIDIS,coin
24323,PI+SIDIS,coin
24324,PI+SIDIS,coin
24325,PI+SIDIS,coin
24326,PI+SIDIS,coin
24327,PI+SIDIS,coin
24328,PI+SIDIS,coin
24329,PI+SIDIS,coin
24330,PI+SIDIS,coin
24331,PI+SIDIS,coin
24332,PI+SIDIS,coin
24333,HMSDIS,hms
24334,SHMSDIS,shms
24335,PI+SIDIS,coin
24336,PI+SIDIS,coin
24337,PI+SIDIS,coin
24338,PI+SIDIS,coin
24339,PI+SIDIS,coin
24340,HMSDIS,hms
24341,SHMSDIS,shms
24342,PI+SIDIS,coin
24343,PI+SIDIS,coin
24344,PI+SIDIS,coin
24345,PI+SIDIS,coin
24346,PI+SIDIS,coin
24347,PI+SIDIS,coin
24348,PI+SIDIS,coin
24349,PI+SIDIS,coin
24350,HMSDIS,hms
24351,SHMSDIS,shms
24352,PI+SIDIS,coin
24353,PI+SIDIS,coin
24354,PI+SIDIS,coin
24355,PI+SIDIS,coin
24356,PI+SIDIS,coin
24357,PI+SIDIS,coin
24359,PI+SIDIS,coin
24360,PI+SIDIS,coin
24361,HMSDIS,hms
24362,SHMSDIS,shms
24363,PI+SIDIS,coin
24364,PI+SIDIS,coin
24365,PI+SIDIS,coin
24366,PI+SIDIS,coin
24367,PI+SIDIS,coin
24368,PI+SIDIS,coin
24369,PI+SIDIS,coin
24370,PI+SIDIS,coin
24371,PI+SIDIS,coin
24372,PI+SIDIS,coin
24373,HMSDIS,hms
24375,HMSDIS,hms
24376,PI+SIDIS,coin
24377,PI+SIDIS,coin
24378,PI+SIDIS,coin
24379,PI+SIDIS,coin
24380,PI+SIDIS,coin
24381,PI+SIDIS,coin
24382,PI+SIDIS,coin
24383,PI+SIDIS,coin
24384,PI+SIDIS,coin
24385,PI+SIDIS,coin
24386,PI+SIDIS,coin
24387,PI+SIDIS,coin
24388,PI+SIDIS,coin
24389,PI+SIDIS,coin
24390,PI+SIDIS,coin
24396,PI+SIDIS,coin
24397,PI+SIDIS,coin
24398,PI+SIDIS,coin
24399,PI+SIDIS,coin
24400,PI+SIDIS,coin
24401,PI+SIDIS,coin
24402,PI+SIDIS,coin
24404,PI+SIDIS,coin
24405,PI+SIDIS,coin
24406,PI+SIDIS,coin
24407,PI+SIDIS,coin
24408,PI+SIDIS,coin
24409,PI+SIDIS,coin
24410,PI+SIDIS,coin
24411,PI+SIDIS,coin
24412,PI+SIDIS,coin
24413,PI+SIDIS,coin
24414,PI+SIDIS,coin
24415,PI+SIDIS,coin
24416,PI+SIDIS,coin
24417,PI+SIDIS,coin
24418,PI+SIDIS,coin
24419,PI+SIDIS,coin
24421,PI+SIDIS,coin
24422,PI+SIDIS,coin
24423,PI+SIDIS,coin
24424,PI+SIDIS,coin
24425,PI+SIDIS,coin
24426,PI+SIDIS,coin
24427,PI+SIDIS,coin
24428,PI+SIDIS,coin
24429,PI+SIDIS,coin
24430,PI+SIDIS,coin
24431,PI+SIDIS,coin
24432,PI+SIDIS,coin
24433,PI+SIDIS,coin
24434,PI+SIDIS,coin
24435,PI+SIDIS,coin
24436,PI+SIDIS,coin
24437,PI+SIDIS,coin
24438,HMSDIS,hms
24440,HMSDIS,hms
24441,SHMSDIS,shms
24442,PI+SIDIS,coin
24443,PI+SIDIS,coin
24444,PI+SIDIS,coin
24445,PI+SIDIS,coin
24446,PI+SIDIS,coin
24447,PI+SIDIS,coin
24448,PI+SIDIS,coin
24449,PI+SIDIS,coin
24450,PI+SIDIS,coin
24451,PI+SIDIS,coin
24452,PI+SIDIS,coin
24453,PI+SIDIS,coin
24454,PI+SIDIS,coin
24455,HMSDIS,hms
24456,HMSDIS,hms
24458,SHMSDIS,shms
24460,PI+SIDIS,coin
24461,PI+SIDIS,coin
24463,PI+SIDIS,coin
24464,PI+SIDIS,coin
