phase,run,run_type,replay_mode,root_file,t_entries,tsh_last_evnumber,tsh_difference,tsh_flag,tsp_last_evnumber,tsp_difference,tsp_flag,overall_flag,status
phase2,27636,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27636_-1.root,92269,92270,1,0,92270,1,0,0,OK
phase2,27637,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27637_-1.root,88050,88051,1,0,88051,1,0,0,OK
phase2,27638,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27638_-1.root,98254,98255,1,0,98255,1,0,0,OK
phase2,27639,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27639_-1.root,89842,89843,1,0,89843,1,0,0,OK
phase2,27640,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27640_-1.root,86033,86034,1,0,86034,1,0,0,OK
phase2,27641,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27641_-1.root,98270,98271,1,0,98271,1,0,0,OK
phase2,27642,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27642_-1.root,127706,127707,1,0,127707,1,0,0,OK
phase2,27643,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27643_-1.root,9742,9743,1,0,9743,1,0,0,OK
phase2,27644,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27644_-1.root,3835,3836,1,0,3836,1,0,0,OK
phase2,27650,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27650_-1.root,241726,241727,1,0,241727,1,0,0,OK
phase2,27651,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27651_-1.root,233158,233159,1,0,233159,1,0,0,OK
phase2,27652,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27652_-1.root,234689,234690,1,0,234690,1,0,0,OK
phase2,27653,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27653_-1.root,227268,227269,1,0,227269,1,0,0,OK
phase2,27654,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27654_-1.root,232569,232570,1,0,232570,1,0,0,OK
phase2,27655,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27655_-1.root,234931,234932,1,0,234932,1,0,0,OK
phase2,27656,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27656_-1.root,230040,230041,1,0,230041,1,0,0,OK
phase2,27657,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27657_-1.root,235246,235247,1,0,235247,1,0,0,OK
phase2,27658,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27658_-1.root,224537,224538,1,0,224538,1,0,0,OK
phase2,27659,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27659_-1.root,238440,238441,1,0,238441,1,0,0,OK
phase2,27660,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27660_-1.root,1353286,1353287,1,0,,,,0,OK
phase2,27661,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27661_-1.root,537749,537750,1,0,,,,0,OK
