phase,run,run_type,replay_mode,root_file,t_entries,tsh_last_evnumber,tsh_difference,tsh_flag,tsp_last_evnumber,tsp_difference,tsp_flag,overall_flag,status
phase1,24110,PI-SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24110_-1.root,287177,667370,380193,1,667370,380193,1,1,DISCREPANCY
phase1,24111,PI-SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24111_-1.root,300837,648048,347211,1,648048,347211,1,1,DISCREPANCY
phase1,24112,PI-SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24112_-1.root,334682,684117,349435,1,684117,349435,1,1,DISCREPANCY
phase1,24113,PI-SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24113_-1.root,146136,501132,354996,1,501132,354996,1,1,DISCREPANCY
phase1,24116,PI-SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24116_-1.root,238322,400418,162096,1,400418,162096,1,1,DISCREPANCY
phase1,24877,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24877_-1.root,263558,266452,2894,1,266452,2894,1,1,DISCREPANCY
phase1,24878,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24878_-1.root,1773721,1784729,11008,1,1784729,11008,1,1,DISCREPANCY
phase1,24879,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24879_-1.root,299994,302589,2595,1,302589,2595,1,1,DISCREPANCY
phase1,24880,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24880_-1.root,1844453,1863760,19307,1,1863760,19307,1,1,DISCREPANCY
phase1,24881,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24881_-1.root,1843658,1863900,20242,1,1863900,20242,1,1,DISCREPANCY
phase1,24882,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24882_-1.root,791647,809281,17634,1,809281,17634,1,1,DISCREPANCY
phase1,24883,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24883_-1.root,203734,221981,18247,1,221981,18247,1,1,DISCREPANCY
phase1,24886,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24886_-1.root,666622,685467,18845,1,685467,18845,1,1,DISCREPANCY
phase1,24887,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24887_-1.root,525255,543118,17863,1,543118,17863,1,1,DISCREPANCY
phase1,24888,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24888_-1.root,1819213,1836451,17238,1,1836451,17238,1,1,DISCREPANCY
phase1,24889,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24889_-1.root,392522,410827,18305,1,410827,18305,1,1,DISCREPANCY
phase1,24890,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24890_-1.root,124879,144452,19573,1,144452,19573,1,1,DISCREPANCY
phase1,24893,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24893_-1.root,205807,224378,18571,1,224378,18571,1,1,DISCREPANCY
phase1,24894,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24894_-1.root,239145,256850,17705,1,256850,17705,1,1,DISCREPANCY
phase1,24897,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24897_-1.root,616218,634531,18313,1,634531,18313,1,1,DISCREPANCY
phase1,24898,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24898_-1.root,1571672,1600397,28725,1,1600397,28725,1,1,DISCREPANCY
phase1,24899,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24899_-1.root,240708,259215,18507,1,259215,18507,1,1,DISCREPANCY
phase1,24902,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24902_-1.root,405520,421703,16183,1,421703,16183,1,1,DISCREPANCY
phase1,24903,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24903_-1.root,1305431,1330847,25416,1,1330847,25416,1,1,DISCREPANCY
phase1,24907,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24907_-1.root,1021824,1050789,28965,1,1050789,28965,1,1,DISCREPANCY
phase1,24908,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24908_-1.root,1178734,1197582,18848,1,1197582,18848,1,1,DISCREPANCY
phase1,24909,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24909_-1.root,337707,359257,21550,1,359257,21550,1,1,DISCREPANCY
phase1,24910,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24910_-1.root,320027,340056,20029,1,340056,20029,1,1,DISCREPANCY
phase1,24913,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24913_-1.root,1116631,1136988,20357,1,1136988,20357,1,1,DISCREPANCY
phase1,24914,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24914_-1.root,442961,455797,12836,1,455797,12836,1,1,DISCREPANCY
phase1,24915,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24915_-1.root,696331,711555,15224,1,711555,15224,1,1,DISCREPANCY
phase1,24916,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24916_-1.root,1889508,1903085,13577,1,1903085,13577,1,1,DISCREPANCY
phase1,24917,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24917_-1.root,63103,70442,7339,1,70442,7339,1,1,DISCREPANCY
phase1,24920,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24920_-1.root,543229,563525,20296,1,563525,20296,1,1,DISCREPANCY
phase1,24921,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24921_-1.root,157849,177057,19208,1,177057,19208,1,1,DISCREPANCY
phase1,24924,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24924_-1.root,642039,664881,22842,1,664881,22842,1,1,DISCREPANCY
phase1,24927,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24927_-1.root,478792,491186,12394,1,491186,12394,1,1,DISCREPANCY
phase1,24928,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24928_-1.root,1360133,1379714,19581,1,1379714,19581,1,1,DISCREPANCY
phase1,24929,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24929_-1.root,860299,872477,12178,1,872477,12178,1,1,DISCREPANCY
phase1,24930,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24930_-1.root,356213,373487,17274,1,373487,17274,1,1,DISCREPANCY
phase1,24933,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24933_-1.root,1210808,1230990,20182,1,1230990,20182,1,1,DISCREPANCY
phase1,24934,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24934_-1.root,1090564,1110414,19850,1,1110414,19850,1,1,DISCREPANCY
phase1,24935,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24935_-1.root,1075591,1094650,19059,1,1094650,19059,1,1,DISCREPANCY
phase1,24938,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24938_-1.root,1175958,1194201,18243,1,1194201,18243,1,1,DISCREPANCY
phase1,24939,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24939_-1.root,511351,520128,8777,1,520128,8777,1,1,DISCREPANCY
phase1,24943,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24943_-1.root,1309679,1331765,22086,1,1331765,22086,1,1,DISCREPANCY
phase1,24944,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24944_-1.root,1219598,1241277,21679,1,1241277,21679,1,1,DISCREPANCY
phase1,24945,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24945_-1.root,851644,865778,14134,1,865778,14134,1,1,DISCREPANCY
phase1,24946,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24946_-1.root,340893,359690,18797,1,359690,18797,1,1,DISCREPANCY
phase1,24947,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24947_-1.root,327915,346863,18948,1,346863,18948,1,1,DISCREPANCY
phase1,24948,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24948_-1.root,1245147,1270232,25085,1,1270232,25085,1,1,DISCREPANCY
phase1,24949,PI+SIDIS,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_24949_-1.root,1130040,1148853,18813,1,1148853,18813,1,1,DISCREPANCY
