phase,run,run_type,replay_mode,root_file,t_entries,tsh_last_evnumber,tsh_difference,tsh_flag,tsp_last_evnumber,tsp_difference,tsp_flag,overall_flag,status
phase1,23839,SHMSHEEP,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_23839_-1.root,107237,107238,1,0,107238,1,0,0,OK
phase1,23840,SHMSHEEP,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_23840_-1.root,336846,336847,1,0,336847,1,0,0,OK
phase1,23841,SHMSHEEP,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_23841_-1.root,85715,85716,1,0,85716,1,0,0,OK
phase1,23842,SHMSHEEP,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_23842_-1.root,148278,148279,1,0,148279,1,0,0,OK
phase1,23844,SHMSHEEP,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_23844_-1.root,279618,279619,1,0,279619,1,0,0,OK
phase1,23845,SHMSHEEP,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_23845_-1.root,251948,251949,1,0,251949,1,0,0,OK
phase1,23846,SHMSHEEP,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_23846_-1.root,331162,331163,1,0,331163,1,0,0,OK
phase1,23847,SHMSHEEP,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_23847_-1.root,258370,258371,1,0,258371,1,0,0,OK
phase1,23848,SHMSHEEP,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_23848_-1.root,205033,205034,1,0,205034,1,0,0,OK
phase1,23849,SHMSHEEP,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_23849_-1.root,21458,21459,1,0,21459,1,0,0,OK
phase1,23850,SHMSHEEP,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_23850_-1.root,24690,24691,1,0,24691,1,0,0,OK
phase1,23851,SHMSHEEP,coin,/cache/hallc/c-rsidis/analysis/replays/pass0p1/coin_replay_production_23851_-1.root,27296,27297,1,0,27297,1,0,0,OK
phase1,23853,HMSDIS,hms,/cache/hallc/c-rsidis/analysis/replays/pass0p1/hms_coin_replay_production_23853_-1.root,1345045,1345046,1,0,,,,0,OK
phase1,23855,HMSDIS,hms,/cache/hallc/c-rsidis/analysis/replays/pass0p1/hms_coin_replay_production_23855_-1.root,1371303,1371304,1,0,,,,0,OK
phase1,23856,SHMSDIS,shms,/cache/hallc/c-rsidis/analysis/replays/pass0p1/shms_coin_replay_production_23856_-1.root,1289067,,,,1289068,1,0,0,OK
phase1,23857,HMSDIS,hms,/cache/hallc/c-rsidis/analysis/replays/pass0p1/hms_coin_replay_production_23857_-1.root,1839480,1839481,1,0,,,,0,OK
phase1,23858,HMSDIS,hms,/cache/hallc/c-rsidis/analysis/replays/pass0p1/hms_coin_replay_production_23858_-1.root,2380167,2380168,1,0,,,,0,OK
phase1,23859,HMSDIS,hms,/cache/hallc/c-rsidis/analysis/replays/pass0p1/hms_coin_replay_production_23859_-1.root,2570960,2570961,1,0,,,,0,OK
