phase,run,run_type,replay_mode,root_file,t_entries,tsh_last_evnumber,tsh_difference,tsh_flag,tsp_last_evnumber,tsp_difference,tsp_flag,overall_flag,status
QA,24040,PI-SIDIS,coin,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_24040_-1.root,275265,275266,1,0,275266,1,0,0,OK
QA,24041,PI-SIDIS,coin,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_24041_-1.root,384729,384730,1,0,384730,1,0,0,OK
QA,24112,PI-SIDIS,coin,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_24112_-1.root,684116,684117,1,0,684117,1,0,0,OK
QA,24117,PI-SIDIS,coin,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_24117_-1.root,240514,240515,1,0,240515,1,0,0,OK
QA,24123,PI-SIDIS,coin,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_24123_-1.root,353379,353380,1,0,353380,1,0,0,OK
QA,24208,PI+SIDIS,coin,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_24208_-1.root,150223,150224,1,0,150224,1,0,0,OK
QA,24621,PI+SIDIS,coin,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_24621_-1.root,489096,489097,1,0,489097,1,0,0,OK
QA,24647,PI+SIDIS,coin,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_24647_-1.root,494206,494207,1,0,494207,1,0,0,OK
QA,27107,SHMSHEEP,coin,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27107_-1.root,84764,84765,1,0,84765,1,0,0,OK
QA,27113,HMSDIS,hms,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/hms_coin_replay_production_27113_-1.root,2591144,2591145,1,0,,,,0,OK
QA,27114,HMSDIS,hms,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/hms_coin_replay_production_27114_-1.root,2071267,2071268,1,0,,,,0,OK
QA,27121,SHMSDIS,shms,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/shms_coin_replay_production_27121_-1.root,2770100,,,,2770101,1,0,0,OK
